user,gender,fb_friend_count,sender_count,recipient_count,caller_count,callee_count
349,0,5.0,0.0,0.0,0.0,0.0
350,0,24.0,8.0,8.0,0.0,1.0
351,0,30.0,44.0,27.0,13.0,5.0
352,0,18.0,3.0,3.0,0.0,4.0
353,0,12.0,0.0,0.0,0.0,0.0
354,1,16.0,16.0,19.0,19.0,15.0
355,1,10.0,6.0,5.0,1.0,1.0
356,0,19.0,22.0,14.0,31.0,7.0
357,1,19.0,119.0,111.0,3.0,17.0
358,1,48.0,47.0,40.0,11.0,12.0
359,0,18.0,42.0,38.0,10.0,9.0
360,0,14.0,3.0,4.0,7.0,7.0
361,0,1.0,1.0,2.0,0.0,0.0
362,0,5.0,2.0,3.0,1.0,0.0
363,0,10.0,13.0,17.0,1.0,3.0
364,0,6.0,64.0,68.0,12.0,7.0
365,1,13.0,1.0,2.0,0.0,0.0
366,0,0.0,1.0,1.0,0.0,0.0
367,0,7.0,8.0,5.0,0.0,1.0
368,1,16.0,27.0,32.0,0.0,0.0
369,0,3.0,0.0,0.0,0.0,0.0
370,0,13.0,20.0,13.0,0.0,0.0
371,1,50.0,64.0,69.0,3.0,6.0
372,0,21.0,26.0,24.0,3.0,8.0
373,0,60.0,4.0,5.0,0.0,8.0
374,0,23.0,13.0,21.0,7.0,19.0
375,0,9.0,0.0,0.0,0.0,0.0
376,0,19.0,66.0,50.0,1.0,0.0
377,-1,18.0,0.0,0.0,0.0,0.0
378,0,30.0,20.0,18.0,15.0,17.0
379,0,8.0,64.0,61.0,8.0,5.0
380,0,0.0,4.0,6.0,1.0,0.0
381,0,27.0,2.0,2.0,3.0,9.0
382,0,5.0,165.0,195.0,7.0,5.0
383,1,8.0,17.0,13.0,4.0,5.0
384,0,4.0,0.0,0.0,0.0,0.0
385,0,29.0,0.0,0.0,0.0,0.0
386,0,8.0,14.0,15.0,5.0,5.0
387,0,11.0,0.0,0.0,0.0,0.0
388,0,20.0,52.0,49.0,8.0,0.0
389,0,3.0,1.0,2.0,0.0,0.0
390,0,17.0,97.0,100.0,7.0,7.0
391,0,7.0,130.0,162.0,1.0,1.0
392,0,19.0,1.0,3.0,0.0,2.0
393,0,26.0,0.0,4.0,0.0,0.0
394,1,15.0,7.0,11.0,9.0,5.0
395,1,16.0,13.0,11.0,2.0,3.0
396,0,17.0,1.0,0.0,1.0,1.0
397,0,6.0,17.0,20.0,7.0,5.0
398,0,26.0,0.0,0.0,0.0,0.0
399,0,13.0,22.0,22.0,5.0,0.0
400,0,9.0,0.0,0.0,0.0,0.0
401,0,56.0,82.0,94.0,21.0,28.0
402,0,22.0,4.0,2.0,5.0,7.0
403,0,24.0,17.0,15.0,4.0,9.0
404,1,10.0,0.0,0.0,0.0,0.0
405,1,31.0,76.0,81.0,42.0,52.0
406,0,26.0,6.0,5.0,1.0,6.0
407,0,11.0,0.0,0.0,0.0,0.0
408,0,8.0,1.0,0.0,0.0,0.0
409,0,8.0,26.0,23.0,0.0,0.0
410,0,10.0,0.0,0.0,0.0,0.0
411,0,20.0,0.0,0.0,0.0,0.0
412,0,11.0,2.0,2.0,0.0,1.0
413,0,15.0,18.0,22.0,2.0,5.0
414,1,10.0,34.0,38.0,0.0,0.0
415,1,31.0,41.0,35.0,2.0,2.0
416,1,23.0,10.0,8.0,0.0,3.0
417,0,2.0,0.0,0.0,0.0,2.0
418,0,0.0,2.0,3.0,0.0,4.0
419,0,9.0,92.0,81.0,18.0,19.0
420,0,1.0,19.0,21.0,28.0,28.0
421,0,22.0,16.0,20.0,2.0,3.0
422,0,0.0,20.0,14.0,2.0,4.0
423,0,23.0,5.0,7.0,5.0,3.0
424,0,30.0,24.0,22.0,41.0,25.0
425,0,2.0,0.0,0.0,0.0,0.0
426,0,8.0,0.0,0.0,0.0,0.0
427,0,5.0,9.0,7.0,3.0,4.0
428,0,3.0,0.0,0.0,7.0,2.0
429,0,8.0,0.0,0.0,0.0,0.0
